"Year and week of notification"	"Age stratification: 5 year intervals"
""	"A00..04"	"A05..09"	"A10..14"	"A15..19"	"A20..24"	"A25..29"	"A30..34"	"A35..39"	"A40..44"	"A45..49"	"A50..54"	"A55..59"	"A60..64"	"A65..69"	"A70..74"	"A75..79"	"A80+"	"Unknown"
"2001-w01"	"1"	""	""	""	""	""	"1"	""	"1"	""	"1"	"1"	""	""	""	""	"1"	""
"2001-w02"	"2"	"1"	""	"1"	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""
"2001-w03"	"5"	"2"	"3"	""	""	"2"	"1"	"1"	""	"1"	"2"	"1"	"2"	""	""	"2"	"2"	""
"2001-w04"	"2"	"11"	""	""	"1"	""	"1"	""	""	"1"	""	"1"	""	"2"	""	""	"4"	""
"2001-w05"	"17"	"5"	""	""	"1"	""	"1"	""	"1"	""	"2"	""	""	""	"1"	"1"	""	""
"2001-w06"	"11"	""	"1"	""	""	""	""	""	"1"	""	"1"	"1"	"4"	"1"	"6"	"4"	"3"	""
"2001-w07"	"7"	""	"1"	"1"	""	"1"	""	""	""	"1"	""	"2"	"2"	"1"	"2"	""	"6"	""
"2001-w08"	"8"	"2"	"2"	"4"	"3"	""	"1"	"1"	""	""	"2"	"2"	""	"1"	"1"	"1"	"2"	""
"2001-w09"	"9"	"2"	"2"	"1"	"1"	"2"	"1"	""	"1"	"1"	"2"	""	""	"1"	"4"	"1"	"4"	""
"2001-w10"	"19"	"3"	"11"	""	""	"1"	"1"	""	""	""	"3"	""	"5"	"1"	"2"	"2"	"6"	""
"2001-w11"	"6"	""	"1"	""	"2"	""	"1"	"2"	""	"3"	"1"	""	"2"	"3"	"1"	"2"	"5"	""
"2001-w12"	"23"	"1"	"2"	"1"	"2"	"2"	"4"	"3"	""	"3"	""	""	"2"	""	"3"	"7"	"4"	""
"2001-w13"	"14"	"7"	"8"	"6"	"3"	""	""	"2"	"1"	"1"	"3"	"2"	"1"	"4"	""	"1"	"5"	""
"2001-w14"	"10"	"1"	""	""	"1"	"1"	""	"1"	"3"	"2"	""	""	"2"	""	"3"	"3"	"7"	""
"2001-w15"	"5"	"2"	"1"	"1"	"2"	""	"1"	"1"	""	""	""	"1"	"1"	""	"1"	""	"2"	""
"2001-w16"	"6"	"3"	"1"	""	"1"	""	""	"1"	"1"	"2"	"3"	"1"	"1"	""	"1"	"1"	"5"	""
"2001-w17"	"6"	"3"	""	""	"1"	"2"	""	""	"5"	"2"	"2"	"1"	""	"1"	""	""	"8"	""
"2001-w18"	"8"	""	"2"	""	"2"	"3"	"5"	"1"	""	"1"	"1"	""	"2"	"1"	"1"	""	""	""
"2001-w19"	"5"	""	""	"2"	"2"	"2"	"3"	"1"	"2"	"2"	"4"	"1"	""	""	"3"	"1"	""	""
"2001-w20"	"2"	"1"	"7"	""	"2"	""	"1"	"1"	""	""	""	"1"	""	""	""	""	"1"	""
"2001-w21"	"5"	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""
"2001-w22"	"2"	"2"	""	"1"	""	"1"	""	"1"	""	"2"	"1"	""	""	""	""	""	""	""
"2001-w23"	""	"1"	"2"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""
"2001-w24"	"2"	""	"1"	""	""	""	""	""	""	"1"	"1"	""	"1"	""	""	""	""	""
"2001-w25"	"1"	"1"	""	"2"	""	""	""	"1"	""	"1"	"2"	"1"	""	""	""	""	"1"	""
"2001-w26"	"1"	""	""	""	""	""	""	""	"2"	"1"	""	""	"2"	""	""	""	"1"	""
"2001-w27"	"5"	"1"	"1"	""	""	""	"1"	"2"	""	""	""	""	""	"1"	""	"1"	""	""
"2001-w28"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2001-w29"	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	"1"	""	""	""	""	""
"2001-w30"	""	"8"	""	""	""	""	""	""	"1"	"1"	""	""	""	"1"	""	""	""	""
"2001-w31"	""	""	""	""	""	"1"	""	""	""	""	"1"	"1"	""	"1"	"1"	""	"1"	""
"2001-w32"	"1"	""	"1"	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""
"2001-w33"	""	""	"4"	"3"	""	""	""	""	""	""	""	""	""	"1"	"1"	""	""	""
"2001-w34"	"1"	"1"	""	"1"	""	""	""	""	""	""	"1"	""	""	"1"	""	""	""	""
"2001-w35"	"1"	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2001-w36"	"1"	""	"2"	""	""	""	""	""	""	""	"1"	""	""	"1"	"2"	""	"1"	""
"2001-w37"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""
"2001-w38"	"1"	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""
"2001-w39"	"13"	"17"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""
"2001-w40"	"4"	"1"	""	""	"2"	""	""	""	"2"	"1"	""	""	""	"1"	"2"	""	""	""
"2001-w41"	"4"	"3"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""
"2001-w42"	"5"	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""
"2001-w43"	"7"	"1"	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""
"2001-w44"	"6"	"2"	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	"1"	""	""
"2001-w45"	"4"	"2"	""	"3"	"1"	""	""	""	""	""	"1"	""	""	"1"	""	""	"1"	""
"2001-w46"	"5"	"2"	""	""	""	""	""	""	""	"1"	""	""	""	"1"	"3"	""	"1"	""
"2001-w47"	"3"	"1"	"1"	"2"	"2"	""	""	""	""	"1"	""	""	"1"	"2"	"1"	"1"	"1"	""
"2001-w48"	"8"	"2"	"3"	"3"	""	""	"1"	""	""	""	""	"1"	""	""	"1"	"1"	""	""
"2001-w49"	"3"	"3"	""	"19"	"3"	""	""	""	""	"1"	""	""	"1"	"2"	"1"	"2"	"3"	""
"2001-w50"	"4"	"3"	"1"	"3"	""	""	""	""	""	""	""	""	""	"1"	"1"	""	""	""
"2001-w51"	"10"	"13"	"11"	"2"	""	""	""	"1"	"1"	""	""	"1"	""	""	""	"1"	"3"	""
"2001-w52"	"6"	"4"	""	"3"	"1"	""	"2"	"1"	""	"1"	""	""	"1"	"1"	"1"	""	"1"	""
"2002-w01"	"8"	"2"	"2"	"1"	"1"	""	""	"1"	""	""	""	""	"3"	""	"4"	"1"	"4"	""
"2002-w02"	"9"	"2"	""	"1"	"1"	"1"	""	"1"	""	"1"	"2"	"3"	""	"2"	"5"	"2"	"5"	""
"2002-w03"	"15"	"3"	"2"	"6"	""	"1"	"2"	"3"	""	""	""	"1"	"1"	"1"	""	"2"	""	""
"2002-w04"	"20"	"5"	"4"	"2"	"1"	"2"	"1"	"1"	""	"2"	"1"	"1"	"2"	"2"	"2"	"3"	"6"	"1"
"2002-w05"	"13"	"3"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"4"	"1"	"1"	""	"2"	"5"	"4"	"6"	""
"2002-w06"	"31"	"10"	"11"	"4"	"8"	"3"	"2"	"1"	"3"	"2"	"1"	"2"	"4"	"4"	"2"	"4"	"5"	""
"2002-w07"	"42"	"5"	"1"	"1"	"11"	"2"	""	"1"	"2"	"1"	"4"	"4"	""	"1"	"4"	"3"	"4"	"1"
"2002-w08"	"34"	"8"	"17"	"2"	"4"	"1"	"1"	""	"2"	"1"	"1"	"1"	"1"	"2"	""	"2"	""	""
"2002-w09"	"26"	"5"	""	""	"2"	""	""	"4"	"4"	"3"	"3"	"4"	"1"	"4"	"2"	""	"3"	""
"2002-w10"	"15"	"5"	"8"	"1"	"5"	"2"	""	"6"	"3"	"1"	"3"	"3"	"1"	"1"	"2"	""	"11"	""
"2002-w11"	"13"	"4"	"4"	"2"	"2"	"2"	"3"	"3"	"5"	"2"	"2"	"4"	"2"	"2"	"4"	"5"	"16"	"2"
"2002-w12"	"15"	"10"	"2"	""	"1"	"3"	"3"	"3"	"2"	"3"	""	"1"	"1"	"3"	"2"	"2"	"8"	""
"2002-w13"	"14"	"14"	"3"	"2"	"1"	""	"2"	"3"	"1"	"2"	"2"	"2"	"1"	"4"	""	"1"	"4"	"1"
"2002-w14"	"16"	"5"	"4"	"4"	""	""	"1"	""	""	"1"	""	"1"	""	""	""	""	""	"1"
"2002-w15"	"18"	""	""	""	"3"	""	"2"	"1"	"2"	"1"	""	""	""	""	"2"	""	"7"	""
"2002-w16"	"21"	""	""	""	""	""	"2"	""	"4"	"3"	""	"1"	"5"	"2"	""	"7"	"13"	""
"2002-w17"	"14"	"5"	"7"	"2"	"2"	""	""	"1"	"1"	"1"	"4"	""	"1"	"4"	"3"	"4"	"4"	""
"2002-w18"	"7"	"3"	"4"	"2"	""	"2"	"2"	"1"	"2"	""	"1"	"2"	"1"	"1"	"2"	"2"	"5"	""
"2002-w19"	"4"	"2"	"6"	"2"	"1"	""	""	"1"	""	"3"	"1"	"2"	"3"	"2"	"2"	"4"	"3"	""
"2002-w20"	"8"	"3"	"3"	""	"1"	""	"1"	"3"	"3"	""	"4"	""	"4"	""	"2"	"2"	"3"	""
"2002-w21"	"9"	"1"	"1"	"1"	"2"	"2"	"1"	"3"	"2"	"2"	"2"	"3"	"1"	"4"	"1"	""	"2"	""
"2002-w22"	"3"	"1"	"1"	"1"	"3"	"1"	"2"	"4"	""	""	"1"	""	"2"	"1"	"3"	""	"4"	""
"2002-w23"	"6"	"2"	""	"1"	"1"	"1"	"2"	"1"	"3"	"3"	"1"	""	"2"	"3"	""	"1"	"5"	""
"2002-w24"	"16"	"7"	"1"	"1"	""	""	"1"	"2"	"1"	"1"	""	"1"	""	"3"	"3"	"1"	"4"	""
"2002-w25"	"13"	"10"	"5"	"2"	"8"	"1"	"3"	"3"	"4"	"1"	"1"	"1"	""	""	"1"	"2"	"5"	"1"
"2002-w26"	"3"	"3"	"1"	""	""	"1"	"2"	""	"1"	"1"	"1"	""	""	"2"	"2"	""	""	"1"
"2002-w27"	"4"	"5"	"7"	""	""	""	"2"	"1"	""	"1"	"1"	"1"	""	"1"	""	"1"	""	""
"2002-w28"	"12"	"11"	"1"	"9"	"1"	"1"	"1"	""	"1"	""	""	""	"1"	"2"	"2"	""	"2"	""
"2002-w29"	"10"	""	""	""	"1"	""	"1"	"1"	"1"	"1"	""	"1"	"1"	"2"	""	""	"4"	""
"2002-w30"	"9"	"1"	"3"	""	"8"	"5"	""	"5"	""	""	"2"	""	"1"	""	"2"	""	"3"	""
"2002-w31"	"9"	"2"	"1"	""	""	""	"1"	""	"3"	""	"1"	""	""	"3"	"4"	"1"	"4"	""
"2002-w32"	"6"	""	""	"3"	"1"	"2"	"5"	"2"	"1"	""	"1"	"1"	"1"	"1"	"1"	"2"	"2"	""
"2002-w33"	"10"	""	"1"	"2"	"2"	""	""	"1"	"2"	"1"	"1"	""	"1"	"1"	"3"	"1"	""	""
"2002-w34"	"16"	"7"	"1"	""	"2"	"1"	""	""	"1"	""	""	""	""	""	"1"	""	""	""
"2002-w35"	"8"	"4"	"3"	"2"	"1"	"3"	"1"	"1"	"2"	"3"	"1"	""	""	"1"	"1"	""	"4"	""
"2002-w36"	"6"	"2"	""	"1"	""	""	"1"	"1"	""	""	""	""	"1"	"1"	"4"	"3"	"1"	""
"2002-w37"	"7"	"1"	""	""	""	""	""	""	"1"	"2"	""	""	"1"	"1"	""	"2"	""	""
"2002-w38"	"8"	"2"	""	""	"2"	""	"1"	"1"	""	""	""	""	"1"	""	"1"	"1"	"1"	""
"2002-w39"	"17"	"2"	""	""	""	"1"	"1"	"2"	"6"	"1"	""	""	"1"	"2"	"2"	"1"	"2"	""
"2002-w40"	"4"	"2"	"1"	"1"	"1"	""	"1"	"3"	""	"2"	"1"	"1"	"6"	"3"	"1"	"1"	"2"	""
"2002-w41"	"24"	"3"	""	"1"	"2"	"2"	"1"	"1"	"1"	"1"	""	"2"	"4"	"2"	"2"	"6"	"12"	""
"2002-w42"	"21"	"6"	"3"	"1"	"4"	"4"	"1"	"2"	"6"	"4"	"4"	"1"	"3"	"6"	"5"	"11"	"14"	""
"2002-w43"	"18"	"4"	""	"3"	"1"	"3"	"1"	""	"2"	"2"	"3"	"4"	""	"2"	"4"	"8"	"12"	""
"2002-w44"	"37"	"8"	"1"	"1"	"5"	"1"	"1"	"1"	"2"	"1"	"1"	"3"	"1"	"7"	"4"	"5"	"16"	""
"2002-w45"	"71"	"16"	"11"	"4"	"9"	"5"	"3"	"4"	"4"	"10"	"4"	"3"	"6"	"4"	"8"	"13"	"28"	""
"2002-w46"	"47"	"9"	"6"	"8"	"10"	"4"	"10"	"8"	"3"	"10"	"5"	"9"	"13"	"11"	"9"	"15"	"34"	"1"
"2002-w47"	"34"	"6"	"5"	"3"	"8"	"3"	"8"	"6"	"4"	"6"	"9"	"3"	"16"	"16"	"13"	"18"	"38"	"1"
"2002-w48"	"59"	"4"	"7"	"4"	"9"	"8"	"4"	"10"	"5"	"12"	"9"	"13"	"19"	"19"	"20"	"21"	"45"	""
"2002-w49"	"64"	"16"	"9"	"9"	"4"	"8"	"8"	"10"	"6"	"10"	"9"	"10"	"18"	"16"	"29"	"13"	"43"	""
"2002-w50"	"60"	"13"	"5"	"6"	"8"	"3"	"12"	"8"	"6"	"8"	"10"	"7"	"21"	"27"	"20"	"25"	"61"	"1"
"2002-w51"	"49"	"6"	""	"13"	"14"	"3"	"5"	"7"	"10"	"5"	"12"	"16"	"19"	"25"	"20"	"27"	"81"	""
"2002-w52"	"26"	"2"	"7"	"3"	"6"	"5"	"9"	"8"	"8"	"7"	"2"	"9"	"12"	"10"	"14"	"16"	"23"	""
"2003-w01"	"26"	"1"	"1"	"5"	"3"	"2"	"4"	"5"	"5"	"3"	"5"	"6"	"16"	"17"	"15"	"14"	"34"	""
"2003-w02"	"27"	"3"	"3"	"5"	"7"	"4"	"4"	"1"	"1"	"7"	"6"	"7"	"13"	"14"	"21"	"20"	"48"	""
"2003-w03"	"31"	"7"	"6"	"6"	"10"	"6"	"2"	"9"	"6"	"11"	"18"	"9"	"19"	"19"	"20"	"31"	"35"	""
"2003-w04"	"48"	"12"	"3"	"9"	"8"	"3"	"8"	"4"	"9"	"10"	"4"	"10"	"23"	"19"	"14"	"23"	"42"	""
"2003-w05"	"39"	"8"	"3"	"6"	"6"	"4"	"6"	"8"	"7"	"7"	"15"	"14"	"12"	"25"	"27"	"29"	"48"	""
"2003-w06"	"42"	"5"	"4"	"5"	"7"	"4"	"7"	"8"	"6"	"6"	"7"	"10"	"16"	"18"	"24"	"26"	"45"	""
"2003-w07"	"36"	"7"	"3"	"1"	"6"	"3"	"7"	"6"	"7"	"8"	"6"	"4"	"17"	"9"	"13"	"15"	"35"	""
"2003-w08"	"41"	"7"	"3"	"7"	"5"	"3"	"3"	"9"	"7"	"7"	"9"	"7"	"13"	"13"	"13"	"20"	"26"	""
"2003-w09"	"58"	"8"	"4"	"7"	"3"	"5"	"4"	"9"	"4"	"8"	"14"	"4"	"14"	"21"	"16"	"20"	"23"	"1"
"2003-w10"	"51"	"11"	"4"	"6"	"6"	"6"	"4"	"10"	"14"	"9"	"4"	"10"	"6"	"20"	"19"	"13"	"24"	"1"
"2003-w11"	"47"	"10"	"8"	"4"	"5"	"5"	"7"	"3"	"3"	"6"	"3"	"4"	"5"	"19"	"9"	"14"	"27"	"1"
"2003-w12"	"56"	"14"	"12"	"5"	"9"	"4"	"7"	"5"	"11"	"6"	"2"	"4"	"12"	"12"	"9"	"20"	"22"	""
"2003-w13"	"59"	"7"	"2"	"3"	"13"	"7"	"4"	"8"	"5"	"5"	"6"	"2"	"14"	"15"	"22"	"11"	"23"	""
"2003-w14"	"58"	"13"	"7"	"6"	"8"	"3"	"7"	"11"	"11"	"6"	"9"	"5"	"11"	"9"	"16"	"10"	"16"	""
"2003-w15"	"63"	"8"	"9"	"8"	"7"	"4"	"7"	"2"	"9"	"3"	"6"	"10"	"17"	"11"	"7"	"7"	"12"	""
"2003-w16"	"69"	"5"	"11"	"5"	"5"	"5"	"5"	"5"	"5"	"10"	"7"	"2"	"9"	"7"	"13"	"9"	"14"	""
"2003-w17"	"44"	"8"	"7"	"6"	"3"	"2"	"4"	"10"	"7"	"4"	"7"	"4"	"5"	"10"	"8"	"19"	"11"	""
"2003-w18"	"65"	"8"	"10"	"5"	"6"	"6"	"4"	"3"	"10"	"2"	"4"	"4"	"7"	"9"	"10"	"10"	"15"	""
"2003-w19"	"56"	"15"	"18"	"5"	"10"	"1"	"11"	"8"	"3"	"7"	"2"	"9"	"12"	"11"	"7"	"11"	"17"	""
"2003-w20"	"69"	"12"	"11"	"7"	"4"	"3"	"4"	"8"	"12"	"7"	"3"	"5"	"6"	"12"	"10"	"6"	"9"	""
"2003-w21"	"57"	"6"	"16"	"11"	"4"	"4"	"5"	"8"	"6"	"5"	"4"	"5"	"5"	"10"	"6"	"8"	"9"	""
"2003-w22"	"35"	"6"	"10"	"4"	"5"	"6"	"3"	"2"	"5"	"4"	"4"	"3"	"1"	"4"	"3"	"5"	"8"	""
"2003-w23"	"50"	"4"	"7"	"8"	"3"	"1"	"4"	"6"	"5"	"2"	"3"	"1"	"4"	"4"	"9"	"7"	"6"	""
"2003-w24"	"30"	"9"	"5"	"10"	"1"	"1"	"1"	"5"	"3"	"1"	"5"	"3"	"6"	"2"	"5"	"7"	"3"	""
"2003-w25"	"29"	"3"	"8"	"7"	"6"	"3"	"5"	"9"	"2"	"3"	"5"	"3"	"3"	"4"	"4"	"6"	"6"	""
"2003-w26"	"40"	"8"	"9"	"2"	"5"	""	"3"	"5"	"6"	"3"	"2"	"4"	"5"	"9"	"3"	"4"	"5"	""
"2003-w27"	"33"	"10"	"5"	"7"	"1"	"2"	"6"	"1"	"4"	"3"	"4"	"5"	"8"	"2"	"8"	"3"	"4"	""
"2003-w28"	"25"	"11"	"6"	"4"	"5"	"4"	"6"	"3"	"4"	"5"	"4"	"6"	"7"	"3"	"4"	""	"12"	""
"2003-w29"	"39"	"6"	"2"	"4"	"4"	"3"	"5"	"3"	"2"	"4"	"3"	"1"	"3"	"8"	"8"	"6"	"7"	""
"2003-w30"	"30"	"12"	"5"	"4"	"5"	"5"	"2"	"4"	"8"	"6"	"2"	"1"	"1"	"12"	"2"	"5"	"6"	""
"2003-w31"	"28"	"5"	"5"	"5"	"4"	"6"	"3"	"3"	"5"	"7"	"9"	"4"	"4"	"4"	"5"	"6"	"4"	""
"2003-w32"	"24"	"10"	"9"	"3"	"3"	"3"	"1"	"2"	"1"	"5"	"3"	"1"	"6"	"4"	"4"	"3"	"3"	""
"2003-w33"	"25"	"11"	"5"	"5"	"5"	"1"	"1"	"2"	"7"	""	""	"3"	"4"	"2"	"3"	"3"	""	""
"2003-w34"	"30"	"10"	"1"	"4"	"6"	""	"5"	"2"	"3"	"4"	"3"	"1"	"5"	"3"	"5"	"4"	"5"	""
"2003-w35"	"21"	"8"	"5"	"2"	"4"	"5"	"1"	"2"	"2"	"6"	"1"	"1"	"3"	"3"	"1"	"8"	"7"	""
"2003-w36"	"28"	"3"	"4"	"4"	"2"	""	"4"	"3"	"4"	"1"	"2"	"3"	"5"	"2"	"1"	"1"	"2"	""
"2003-w37"	"26"	"14"	"3"	"4"	"2"	"5"	"3"	"2"	"3"	"4"	"1"	"1"	"2"	"1"	"3"	"1"	"2"	""
"2003-w38"	"29"	"6"	"2"	"3"	"4"	""	""	"1"	"3"	"3"	"3"	""	"3"	"2"	"2"	"1"	"2"	""
"2003-w39"	"30"	"3"	"1"	"4"	"2"	"2"	"3"	"5"	"2"	"2"	"1"	"1"	"4"	"1"	"2"	"2"	"4"	""
"2003-w40"	"13"	"2"	"4"	"7"	""	""	"1"	"1"	"3"	"2"	"1"	"1"	"1"	"4"	"2"	"2"	"4"	""
